val_chr_f1,val_ent_f1,epoch,step,current_epoch,global_rank,global_step,learning_rate,trained_rate,train_loss,train_acc,val_loss,val_acc
69.35689057283868,51.228493102477024,0,49,,,,,,,,,
69.35689057283868,51.228493102477024,,1,0,0,50.0,5e-05,0.04761902615427971,0.06375937163829803,0.6437010169029236,0.05841611698269844,0.7693839073181152
89.87520014660895,80.82701634904281,0,99,,,,,,,,,
89.87520014660895,80.82701634904281,,3,0,0,100.0,5e-05,0.09523805230855942,0.02290746569633484,0.887832522392273,0.025776300579309464,0.9054384827613831
92.1233678454007,84.42624515936365,0,149,,,,,,,,,
92.1233678454007,84.42624515936365,,5,0,0,150.0,5e-05,0.14285710453987122,0.01762372814118862,0.9021735191345215,0.0210165586322546,0.9225388169288635
92.54030655031154,84.92978036160599,0,199,,,,,,,,,
92.54030655031154,84.92978036160599,,7,0,0,200.0,5e-05,0.19047610461711884,0.019611360505223274,0.8943533897399902,0.019155142828822136,0.9251877069473267
92.88193249618588,85.96465756563335,1,259,,,,,,,,,
92.88193249618588,85.96465756563335,,9,1,0,260.0,4.5e-05,0.2476191371679306,0.013451349921524525,0.928217887878418,0.01892666704952717,0.9271910786628723
92.85860098955673,85.92544009339737,1,309,,,,,,,,,
92.85860098955673,85.92544009339737,,11,1,0,310.0,4.5e-05,0.29523807764053345,0.015986811369657516,0.9337352514266968,0.01965266466140747,0.9443241953849792
93.012608490915,86.377661728542,1,359,,,,,,,,,
93.012608490915,86.377661728542,,13,1,0,360.0,4.5e-05,0.34285733103752136,0.011869814246892929,0.9329496622085571,0.018849913030862808,0.9381471276283264
93.0309555820981,86.43200181459207,1,409,,,,,,,,,
93.0309555820981,86.43200181459207,,15,1,0,410.0,4.5e-05,0.3904761075973511,0.01902463659644127,0.9129660129547119,0.018160805106163025,0.9384511709213257
93.39720649118435,86.82335216776035,2,469,,,,,,,,,
93.39720649118435,86.82335216776035,,17,2,0,470.0,4.05e-05,0.44761931896209717,0.016415031626820564,0.9145123958587646,0.017827652394771576,0.9332712292671204
93.06531252596135,86.26520643068785,2,519,,,,,,,,,
93.06531252596135,86.26520643068785,,19,2,0,520.0,4.05e-05,0.4952382743358612,0.00973056722432375,0.9488887786865234,0.01821272075176239,0.9351717829704285
93.24373138837208,86.44209979305599,2,569,,,,,,,,,
93.24373138837208,86.44209979305599,,21,2,0,570.0,4.05e-05,0.5428571105003357,0.011219367384910583,0.9487666487693787,0.017956368625164032,0.9394025802612305
93.32751840094414,86.53463337692408,2,619,,,,,,,,,
93.32751840094414,86.53463337692408,,23,2,0,620.0,4.05e-05,0.5904761552810669,0.007835237309336662,0.9449757933616638,0.018266867846250534,0.9334666132926941
93.3178211342422,86.65835215770322,3,679,,,,,,,,,
93.3178211342422,86.65835215770322,,25,3,0,680.0,3.6450000000000005e-05,0.6476194262504578,0.007481168955564499,0.9528907537460327,0.018769362941384315,0.9338667988777161
92.80698788470434,85.92694532970685,3,729,,,,,,,,,
92.80698788470434,85.92694532970685,,27,3,0,730.0,3.6450000000000005e-05,0.6952385902404785,0.009489437565207481,0.9569675326347351,0.019236810505390167,0.932153046131134
93.44678018875109,86.99453105771525,3,779,,,,,,,,,
93.44678018875109,86.99453105771525,,29,3,0,780.0,3.6450000000000005e-05,0.7428569793701172,0.012337234802544117,0.9317773580551147,0.018580911681056023,0.9364067316055298
93.06309737695439,86.50915685137916,3,829,,,,,,,,,
93.06309737695439,86.50915685137916,,31,3,0,830.0,3.6450000000000005e-05,0.7904761433601379,0.011700441129505634,0.9272346496582031,0.018723517656326294,0.933636486530304
93.3338213863578,87.3228479511727,4,889,,,,,,,,,
93.3338213863578,87.3228479511727,,33,4,0,890.0,3.280500000000001e-05,0.8476194739341736,0.005765093490481377,0.972573459148407,0.01959093287587166,0.937219500541687
93.18041247078573,86.31080171089512,4,939,,,,,,,,,
93.18041247078573,86.31080171089512,,35,4,0,940.0,3.280500000000001e-05,0.8952386379241943,0.008615151047706604,0.9591840505599976,0.01925983838737011,0.9334686398506165
93.385465014279,87.22894397022853,4,989,,,,,,,,,
93.385465014279,87.22894397022853,,37,4,0,990.0,3.280500000000001e-05,0.9428568482398987,0.006642340682446957,0.968000054359436,0.019342098385095596,0.9345963001251221
93.2115789550073,87.01798925439344,4,1039,,,,,,,,,
93.2115789550073,87.01798925439344,,39,4,0,1040.0,3.280500000000001e-05,0.9904765486717224,0.0043503898195922375,0.9700602293014526,0.019210491329431534,0.9362371563911438
